sep=;
1.34185;1.21512;13.7291;14.5755;0.353173;0.303341;1.09113;0.142073;18.4689;22.5612
0.00408291;1;0;1.90188;0;0.943499;0;0.582202;0;179.869
name;Surface Area;Compactness;Bounding Box Volume;Diameter;Eccentricity;D1-1;D1-2;D1-3;D1-4;D1-5;D1-6;D1-7;D1-8;D1-9;D1-10;D1-11;D1-12;D1-13;D1-14;D2-1;D2-2;D2-3;D2-4;D2-5;D2-6;D2-7;D2-8;D2-9;D2-10;D2-11;D2-12;D2-13;D2-14;D3-1;D3-2;D3-3;D3-4;D3-5;D3-6;D3-7;D3-8;D3-9;D3-10;D3-11;D3-12;D3-13;D3-14;D4-1;D4-2;D4-3;D4-4;D4-5;D4-6;D4-7;D4-8;D4-9;D4-10;D4-11;D4-12;D4-13;D4-14;A3-1;A3-2;A3-3;A3-4;A3-5;A3-6;A3-7;A3-8;A3-9;A3-10;A3-11;A3-12;A3-13;A3-14
Ant/82.off;-0.192266;-0.129612;-0.0756054;-0.189385;-0.25265;0.0219304;0.138209;0.152549;0.163996;0.196168;0.173033;0.140017;0.0140981;0;0;0;0;0;0;0.0710324;0.222248;0.264284;0.226027;0.118115;0.067096;0.0292995;0.00189723;0;0;0;0;0;0;0.0304346;0.187602;0.320645;0.275015;0.136857;0.0431031;0.00618424;0.000158755;0;0;0;0;0;0;0.0635072;0.286876;0.349859;0.208564;0.0744219;0.0155472;0.0012166;8.66682e-06;0;0;0;0;0;0;0.0995378;0.157508;0.137174;0.117641;0.0976152;0.0806194;0.0697861;0.0593342;0.0499534;0.0428477;0.0364584;0.0279301;0.017605;0.0059893;
Ant/83.off;-0.278328;-0.141057;-0.246923;-0.247619;-0.107585;0.0432873;0.137233;0.158877;0.230395;0.206242;0.135194;0.0727729;0.0159975;0;0;0;0;0;0;0.0891384;0.259577;0.266281;0.199199;0.115223;0.0538071;0.0150253;0.00174926;0;0;0;0;0;0;0.0501198;0.275272;0.358561;0.216668;0.07954;0.0187186;0.00111996;0;0;0;0;0;0;0;0.0872968;0.368955;0.369221;0.144416;0.0266815;0.00332461;0.000105216;0;0;0;0;0;0;0;0.11395;0.165286;0.139239;0.110756;0.0879776;0.0724611;0.061607;0.0530454;0.0491132;0.0449427;0.0395863;0.0327129;0.0217319;0.00759117;
Ant/84.off;-0.254571;-0.064276;-0.117694;-0.2321;-0.269367;0.0239416;0.160146;0.138102;0.18;0.204818;0.157956;0.0953285;0.039708;0;0;0;0;0;0;0.0887121;0.234427;0.252909;0.20013;0.119082;0.0727074;0.0302101;0.00182231;0;0;0;0;0;0;0.0390074;0.222064;0.3283;0.251524;0.113892;0.0393786;0.00568148;0.000153637;0;0;0;0;0;0;0.0823722;0.350254;0.352898;0.159796;0.0450446;0.00867047;0.000949163;1.62714e-05;0;0;0;0;0;0;0.12077;0.162139;0.138969;0.106421;0.0847364;0.0723364;0.0637748;0.0571076;0.05082;0.0463783;0.0390676;0.0305462;0.0198262;0.00710751;
Ant/85.off;-0.190594;-0.0901905;-0.180756;-0.0287286;0.0597615;0.0258703;0.134955;0.149976;0.186457;0.206366;0.145923;0.0963281;0.0541249;0;0;0;0;0;0;0.0723041;0.232901;0.254177;0.199649;0.133726;0.0685066;0.0334312;0.00530467;0;0;0;0;0;0;0.0375925;0.236751;0.347741;0.242939;0.101075;0.0287694;0.0046827;0.000450537;0;0;0;0;0;0;0.0821912;0.355991;0.377786;0.15457;0.0271862;0.00220259;7.25889e-05;0;0;0;0;0;0;0;0.108683;0.165272;0.139838;0.111803;0.089164;0.0729923;0.0628991;0.0556916;0.0508069;0.0450181;0.0388519;0.0313269;0.0204863;0.00716726;
Ant/86.off;-0.250398;-0.176459;-0.294142;-0.238699;-0.219335;0.0282751;0.160415;0.172492;0.20503;0.178886;0.147059;0.0900824;0.0177607;0;0;0;0;0;0;0.0900399;0.266755;0.266989;0.184139;0.11277;0.0578303;0.0199359;0.00154022;0;0;0;0;0;0;0.0435673;0.259048;0.368292;0.235787;0.0774586;0.01546;0.000386628;0;0;0;0;0;0;0;0.0848946;0.361928;0.366391;0.152217;0.031655;0.00290731;7.59372e-06;0;0;0;0;0;0;0;0.116935;0.163326;0.134778;0.10853;0.0859926;0.0727369;0.0645676;0.05715;0.0502861;0.0450183;0.0393071;0.0319606;0.0216642;0.00774655;
Ant/87.off;-0.227952;-0.177787;0.0432625;-0.193345;-0.201531;0.0412316;0.117269;0.153012;0.174565;0.202677;0.166265;0.118608;0.0263722;0;0;0;0;0;0;0.0740382;0.222347;0.249081;0.220864;0.130373;0.0686235;0.0318029;0.00287036;0;0;0;0;0;0;0.0346573;0.203059;0.319612;0.265755;0.12927;0.0422259;0.00533959;8.14496e-05;0;0;0;0;0;0;0.0617612;0.285892;0.352074;0.211133;0.0724567;0.0155161;0.00115938;6.50118e-06;0;0;0;0;0;0;0.110139;0.159104;0.136633;0.112853;0.0904956;0.0758324;0.0657109;0.0587887;0.0514272;0.0442183;0.0383786;0.0300624;0.0194986;0.00685936;
Ant/88.off;-0.200595;-0.114561;0.150492;-0.283345;-0.252936;0.0298417;0.11827;0.141778;0.161876;0.183435;0.212302;0.11754;0.0349574;0;0;0;0;0;0;0.0738368;0.208178;0.238249;0.226189;0.153289;0.075545;0.0231705;0.00154216;0;0;0;0;0;0;0.0339947;0.196729;0.295602;0.251372;0.141201;0.0626026;0.0170571;0.00143612;5.15477e-06;0;0;0;0;0;0.0680256;0.293166;0.333977;0.197674;0.0786358;0.0225618;0.00525908;0.000679324;2.1669e-05;0;0;0;0;0;0.0958653;0.153629;0.142764;0.122562;0.101323;0.0814342;0.0660267;0.0555416;0.0485962;0.0443914;0.0380832;0.0283003;0.0162077;0.00527504;
Ant/89.off;-0.227419;0.0117433;-0.260756;-0.235515;-0.111716;0.0245623;0.16671;0.177162;0.215966;0.212961;0.108963;0.0693755;0.024301;0;0;0;0;0;0;0.0791524;0.25274;0.278375;0.204105;0.114762;0.0507427;0.0181844;0.00193826;0;0;0;0;0;0;0.0405956;0.238295;0.357222;0.242464;0.0993173;0.0206839;0.00142072;1.031e-06;0;0;0;0;0;0;0.0790292;0.356629;0.37978;0.156416;0.0261513;0.00192662;6.8266e-05;0;0;0;0;0;0;0;0.0904203;0.158615;0.143844;0.116039;0.0943437;0.0753032;0.0649178;0.0590621;0.0542757;0.0481571;0.040298;0.0300992;0.018525;0.00609903;
Ant/90.off;-0.21171;-0.103983;-0.108699;-0.275348;-0.264875;0.0383395;0.115272;0.143075;0.180779;0.21239;0.175067;0.102958;0.0321188;0;0;0;0;0;0;0.0756392;0.214459;0.244175;0.226934;0.140118;0.0695953;0.027221;0.00185928;0;0;0;0;0;0;0.0321512;0.202996;0.306869;0.253406;0.13555;0.0570928;0.0112223;0.000713441;0;0;0;0;0;0;0.0667027;0.302393;0.345938;0.19412;0.0688212;0.0176588;0.0040972;0.00026874;0;0;0;0;0;0;0.100556;0.156121;0.136172;0.117778;0.0958824;0.0791657;0.0675094;0.0583638;0.0502266;0.0445155;0.0391786;0.0306713;0.0180572;0.00580287;
Armadillo/281.off;0.157592;-0.209331;0.716959;0.71504;-0.321555;0;0.0205918;0.134546;0.192723;0.198321;0.154538;0.117553;0.102359;0.04998;0.022591;0.00679728;0;0;0;0.0417639;0.126019;0.208009;0.227272;0.178479;0.125199;0.0660841;0.0226268;0.00438794;0.000160034;0;0;0;0;0.011206;0.0900688;0.208288;0.260478;0.210867;0.12819;0.0591136;0.0230566;0.00774808;0.000977663;6.18774e-06;0;0;0;0.0235173;0.136412;0.245255;0.259819;0.189614;0.0962521;0.0354418;0.0102218;0.00280608;0.000596115;6.61146e-05;0;0;0;0.0734835;0.125995;0.147024;0.140967;0.122467;0.0976999;0.0767301;0.0625917;0.0512297;0.0397222;0.0285624;0.0189061;0.0107855;0.0038365;
Armadillo/282.off;-0.0379676;-0.204506;-0.0425718;0.127598;-0.284902;0.00519792;0.0705718;0.177929;0.247101;0.251299;0.123151;0.0683727;0.0369852;0.0193922;0;0;0;0;0;0.0607348;0.181902;0.294918;0.245378;0.136012;0.0584333;0.0183536;0.00404679;0.000221043;0;0;0;0;0;0.02234;0.153784;0.299963;0.296355;0.161722;0.0567085;0.00891392;0.000213489;0;0;0;0;0;0;0.0378417;0.198723;0.319156;0.273139;0.13276;0.0350776;0.00328097;2.16709e-05;0;0;0;0;0;0;0.0707749;0.132875;0.153704;0.142106;0.121453;0.0992626;0.0798026;0.0627661;0.0471403;0.0343175;0.0254074;0.0173057;0.00980942;0.00327531;
Armadillo/283.off;-0.248577;-0.170281;-0.299186;-0.111035;-0.114482;0.0169932;0.148541;0.216114;0.293283;0.121152;0.10056;0.0723711;0.0309876;0;0;0;0;0;0;0.101264;0.290843;0.272319;0.161543;0.110797;0.046543;0.0136727;0.00301759;0;0;0;0;0;0;0.0474903;0.283136;0.378137;0.224084;0.0627106;0.00441097;3.09397e-05;0;0;0;0;0;0;0;0.0884713;0.382406;0.386649;0.130956;0.0114773;4.01078e-05;0;0;0;0;0;0;0;0;0.103419;0.161281;0.140746;0.109031;0.0885174;0.075163;0.0658944;0.0595781;0.0532103;0.0469621;0.0390278;0.0301087;0.0200687;0.00699378;
Armadillo/284.off;0.123006;-0.214496;0.467631;0.162502;-0.346704;0.00719712;0.0415834;0.0991603;0.205918;0.253099;0.190924;0.0823671;0.0659736;0.0333866;0.0203918;0;0;0;0;0.0439846;0.134348;0.236144;0.241719;0.181688;0.102184;0.046118;0.0131216;0.000692135;0;0;0;0;0;0.0120231;0.0909969;0.206521;0.265214;0.219338;0.124878;0.054878;0.0214692;0.00468076;1.03123e-06;0;0;0;0;0.0260024;0.14694;0.262497;0.270091;0.180413;0.0802477;0.026101;0.00662092;0.00105254;3.36032e-05;0;0;0;0;0.0653108;0.121011;0.140106;0.142666;0.134261;0.112809;0.08521;0.062431;0.047054;0.0344721;0.0248524;0.0170329;0.00962072;0.00316223;
Armadillo/285.off;0.0997094;-0.199018;0.132745;0.0520439;-0.305687;0.009996;0.0379848;0.119752;0.193922;0.216313;0.195522;0.113355;0.0613755;0.0513794;0.00039984;0;0;0;0;0.0466157;0.149378;0.236006;0.236832;0.158068;0.101292;0.0588672;0.0129067;3.40071e-05;0;0;0;0;0;0.0147787;0.110855;0.237811;0.271425;0.199505;0.115501;0.04248;0.00740894;0.000236137;0;0;0;0;0;0.0287785;0.157929;0.27101;0.268022;0.173175;0.0768936;0.0213861;0.0027246;8.12828e-05;0;0;0;0;0;0.0728671;0.123711;0.144611;0.129075;0.114311;0.102895;0.0863207;0.067933;0.0517881;0.0395059;0.0295872;0.0208161;0.0124389;0.00414115;
Armadillo/286.off;0.496043;-0.167953;1.10176;0.565645;-0.36393;0.00339864;0.0135946;0.0451819;0.126349;0.187525;0.247701;0.156937;0.0733707;0.0917633;0.0471811;0.0069972;0;0;0;0.0288754;0.0913701;0.153083;0.204468;0.210624;0.16737;0.0937015;0.0403545;0.0100729;8.0015e-05;0;0;0;0;0.00639843;0.0540432;0.133957;0.197441;0.21636;0.185683;0.123927;0.0618845;0.0191406;0.00116644;0;0;0;0;0.0145476;0.0851473;0.169319;0.217094;0.206576;0.153996;0.0934209;0.0441858;0.0136372;0.00200283;7.26134e-05;0;0;0;0.0594585;0.107253;0.13598;0.151281;0.140786;0.114425;0.090921;0.0690314;0.0493102;0.0338764;0.0225423;0.014414;0.00806541;0.00265616;
Armadillo/287.off;0.237831;-0.180879;0.530981;0.455347;-0.329752;0;0.032587;0.0897641;0.204518;0.17553;0.191523;0.130348;0.0889644;0.0737705;0.0129948;0;0;0;0;0.0395048;0.11743;0.194602;0.230743;0.191785;0.125427;0.0717382;0.0255781;0.00317463;1.80036e-05;0;0;0;0;0.0104987;0.0819518;0.190214;0.254329;0.225314;0.143347;0.0699411;0.0218793;0.00245579;7.0136e-05;0;0;0;0;0.0213106;0.121475;0.227526;0.255764;0.199211;0.111903;0.0463036;0.0139372;0.00247372;9.64772e-05;0;0;0;0;0.0661337;0.121156;0.145027;0.139154;0.118774;0.0998502;0.0855496;0.0695127;0.0542872;0.0402166;0.0283578;0.0182765;0.0103885;0.00331504;
Armadillo/288.off;0.288096;-0.193925;0.864059;0.0504643;-0.364934;0;0.0341863;0.109156;0.132947;0.187725;0.215714;0.153539;0.0735706;0.0801679;0.0129948;0;0;0;0;0.0357182;0.110052;0.181229;0.234866;0.21065;0.132549;0.0685828;0.024645;0.00170734;0;0;0;0;0;0.00947397;0.0768475;0.179114;0.240015;0.217944;0.153986;0.0817283;0.0326645;0.00785734;0.000370133;0;0;0;0;0.0193838;0.115082;0.217324;0.250233;0.201147;0.116643;0.0544198;0.0199583;0.00512451;0.000676332;8.67092e-06;0;0;0;0.0660014;0.111394;0.138824;0.153938;0.137125;0.109528;0.08354;0.064092;0.0476421;0.0339193;0.0245165;0.0166303;0.00968534;0.00316521;
Armadillo/289.off;-0.0889295;-0.177095;0.343594;-0.26;-0.352976;0.00079968;0.097561;0.155138;0.229308;0.205718;0.128749;0.0967613;0.0859656;0;0;0;0;0;0;0.0649346;0.172744;0.242992;0.238885;0.18269;0.0777062;0.0173596;0.00268856;0;0;0;0;0;0;0.0226162;0.154744;0.273435;0.254412;0.165438;0.0870572;0.0346117;0.00718017;0.000505355;0;0;0;0;0;0.041011;0.208976;0.305271;0.240195;0.128385;0.0542801;0.0167421;0.00434427;0.000744453;5.09306e-05;0;0;0;0;0.0740168;0.128286;0.142787;0.137183;0.122276;0.100407;0.079159;0.0624423;0.0490156;0.0392892;0.028943;0.0203655;0.0117622;0.0040665;
Armadillo/290.off;-0.00243731;-0.137204;0.465834;0.858533;-0.312006;0.004998;0.0659736;0.154338;0.209116;0.176729;0.126949;0.0979608;0.09996;0.0531787;0.0107957;0;0;0;0;0.0559629;0.152182;0.212795;0.224507;0.185577;0.106971;0.0446005;0.0115224;0.00464699;0.00123526;0;0;0;0;0.0175539;0.127333;0.250036;0.246671;0.17837;0.11071;0.0540762;0.0139928;0.00124855;8.24803e-06;0;0;0;0;0.0362679;0.18455;0.288036;0.250593;0.1457;0.0639413;0.0236224;0.00661241;0.000674802;2.16978e-06;0;0;0;0;0.085354;0.121426;0.135446;0.130797;0.111156;0.0940999;0.0815961;0.0660759;0.0528224;0.0426894;0.0338134;0.0243404;0.0150933;0.00529131;
Bearing/350.off;-0.357752;-0.341822;-0.543464;-0.304588;0.305748;0;0.258477;0.160977;0.156867;0.154812;0.119991;0.114625;0.0342505;0;0;0;0;0;0;0.145327;0.300818;0.199761;0.150041;0.107004;0.0635069;0.0288922;0.00465051;0;0;0;0;0;0;0.0806874;0.394973;0.429335;0.094991;1.13406e-05;0;0;0;0;0;0;0;0;0;0.164797;0.551203;0.282486;0.00151456;0;0;0;0;0;0;0;0;0;0;0.198891;0.202423;0.107038;0.0657664;0.0497921;0.0432755;0.0409281;0.0395652;0.039127;0.0444518;0.0517075;0.0565519;0.0451023;0.0153805;
Bearing/352.off;-0.2315;-0.371893;-0.448455;-0.242457;-0.171864;0;0.104306;0.320574;0.157735;0.1437;0.18134;0.0307815;0.0326954;0.0288676;0;0;0;0;0;0.0862321;0.259483;0.283513;0.169673;0.0968546;0.0632899;0.0331166;0.0078381;0;0;0;0;0;0;0.0387617;0.237647;0.394518;0.257445;0.0684308;0.00319724;0;0;0;0;0;0;0;0;0.0685218;0.322505;0.402156;0.189207;0.0176105;0;0;0;0;0;0;0;0;0;0.108562;0.172287;0.139276;0.104786;0.0849161;0.0723151;0.0656455;0.058281;0.0508917;0.0454995;0.0387433;0.0310375;0.0213687;0.0063902;
Bearing/353.off;-0.378884;-0.310091;-0.510233;-0.310869;0.297263;0.253968;0.142857;0.126984;0.238095;0.0793651;0.126984;0.015873;0.015873;0;0;0;0;0;0;0.237155;0.315066;0.219475;0.120834;0.0636434;0.0360762;0.00727608;0.000474331;0;0;0;0;0;0;0.177857;0.535152;0.264957;0.0220161;1.75559e-05;0;0;0;0;0;0;0;0;0;0.299799;0.610903;0.0885951;0.000702851;0;0;0;0;0;0;0;0;0;0;0.226238;0.183536;0.0961388;0.0611326;0.0392982;0.0350154;0.068524;0.0439869;0.0301646;0.0444124;0.0484174;0.0524028;0.0483493;0.0223828;
Bearing/354.off;-0.298919;-0.349634;-0.449261;-0.237251;-0.0369076;0.0491409;0.0989691;0.176632;0.201031;0.172509;0.16323;0.0584192;0.0505155;0.0295533;0;0;0;0;0;0.111642;0.295325;0.204001;0.135442;0.116893;0.0840325;0.0447002;0.0079647;0;0;0;0;0;0;0.0558268;0.305323;0.373412;0.199211;0.0609566;0.0052702;0;0;0;0;0;0;0;0;0.105845;0.401792;0.363451;0.119756;0.00915558;0;0;0;0;0;0;0;0;0;0.171261;0.177525;0.0997755;0.0759476;0.068613;0.0638458;0.0609545;0.0521197;0.0454517;0.0440123;0.0451576;0.043389;0.036135;0.0158123;
Bearing/355.off;-0.382594;-0.324678;-0.556673;-0.30316;0.634439;0.078353;0.175695;0.144713;0.144313;0.146712;0.142714;0.155507;0.0119928;0;0;0;0;0;0;0.184103;0.25077;0.186447;0.145859;0.11133;0.0745325;0.0399878;0.00697135;0;0;0;0;0;0;0.100299;0.43775;0.404282;0.0576695;0;0;0;0;0;0;0;0;0;0;0.207343;0.596668;0.19593;5.85262e-05;0;0;0;0;0;0;0;0;0;0;0.250482;0.183311;0.0879155;0.0564407;0.0424618;0.0355703;0.0349154;0.0331776;0.0356012;0.0419936;0.0524051;0.0641511;0.0575948;0.0239789;
Bearing/356.off;-0.382605;-0.324705;-0.556516;-0.303159;0.63333;0.0789053;0.175589;0.144427;0.144427;0.146624;0.142629;0.155214;0.0121854;0;0;0;0;0;0;0.184178;0.250016;0.181805;0.145206;0.113177;0.0789699;0.0400831;0.00656532;0;0;0;0;0;0;0.0979906;0.423223;0.413377;0.0654079;0;0;0;0;0;0;0;0;0;0;0.203616;0.592861;0.203457;6.61051e-05;0;0;0;0;0;0;0;0;0;0;0.255365;0.192204;0.089871;0.0557292;0.0414009;0.03556;0.0337395;0.0327494;0.0345018;0.0413668;0.0509218;0.06012;0.0537108;0.0227602;
Bearing/357.off;-0.361164;0.067834;-0.567265;-0.280607;2.65027;0.0686494;0.155836;0.125076;0.123243;0.133428;0.162559;0.202282;0.0289265;0;0;0;0;0;0;0.185387;0.229125;0.172088;0.141145;0.113949;0.0870527;0.0607811;0.0104723;0;0;0;0;0;0;0.110625;0.44715;0.373553;0.068651;1.13422e-05;0;0;0;0;0;0;0;0;0;0.247114;0.634844;0.118007;3.46812e-05;0;0;0;0;0;0;0;0;0;0;0.303008;0.162394;0.0764315;0.049496;0.0369892;0.0321253;0.0310591;0.0299032;0.0319552;0.036154;0.0471161;0.0612366;0.0694816;0.0326502;
Bearing/358.off;0.0962077;-0.0714044;0.36381;-0.0540899;-0.355868;0;0.0833792;0.0990644;0.169785;0.223996;0.300495;0.0276555;0.0343974;0.0171987;0.0170611;0.0188498;0.00811778;0;0;0.0533706;0.161292;0.214712;0.223413;0.169994;0.098287;0.0507102;0.028221;0;0;0;0;0;0;0.016451;0.127518;0.2493;0.249866;0.1797;0.10259;0.0511603;0.0195162;0.00388901;7.21715e-06;0;0;0;0;0.0349137;0.164008;0.268164;0.234267;0.155889;0.0876667;0.0398563;0.0132544;0.00195928;2.16734e-05;0;0;0;0;0.0858361;0.133318;0.126713;0.11354;0.120919;0.129308;0.087789;0.0552481;0.0420179;0.0353785;0.0291042;0.0218864;0.0139479;0.00499472;
